Indicator,Country code,2022,Q1 2022,Q2 2022,Q3 2022,Q4 2022
Dividends and withdrawals from income of quasi-corporations,US,"66.669,00","14.112,00","11.760,00","14.519,00","26.278,00"
Reinvested earnings (direct investor in direct investment enterprises),US,"215.267,00","58.531,00","62.935,00","54.636,00","39.165,00"
Interest,US,"37.406,00","8.721,00","9.028,00","9.344,00","10.313,00"
Portfolio investment income,US,"590.343,00","145.385,00","147.096,00","146.501,00","151.361,00"
Investment income on equity and investment fund shares,US,"206.442,00","53.647,00","53.398,00","49.810,00","49.587,00"
Dividends on equity excluding investment fund shares,US,"167.066,00","44.079,00","42.939,00","40.048,00","40.000,00"
Portfolio investment income attributable to investment fund shareholders,US,"39.376,00","9.568,00","10.459,00","9.762,00","9.587,00"
Interest,US,"383.901,00","91.738,00","93.698,00","96.691,00","101.774,00"
Other investment income,US,"133.993,00","17.835,00","23.529,00","38.316,00","54.313,00"
Interest,US,"129.806,00","16.800,00","22.494,00","37.269,00","53.243,00"
"Income attributable to policyholders in insurance, pension schemes, and standardized guarantees",US,"4.187,00","1.035,00","1.035,00","1.047,00","1.070,00"
Secondary income,US,"-183.294,00","-38.324,00","-43.650,00","-55.921,00","-45.399,00"
Credit,US,"188.696,00","44.039,00","45.265,00","45.309,00","54.083,00"
General government,US,"47.178,00","9.238,00","10.393,00","9.615,00","17.932,00"
"Financial corporations, nonfinancial corporations, households, and NPISHs",US,"141.518,00","34.801,00","34.872,00","35.694,00","36.151,00"
Other current transfers,US,"141.518,00","34.801,00","34.872,00","35.694,00","36.151,00"
Debit,US,"371.990,00","82.363,00","88.915,00","101.230,00","99.482,00"
General government,US,"90.400,00","16.319,00","19.685,00","28.889,00","25.507,00"
"Financial corporations, nonfinancial corporations, households, and NPISHs",US,"281.590,00","66.044,00","69.230,00","72.341,00","73.975,00"
Personal transfers,US,"62.239,00","14.984,00","15.443,00","15.790,00","16.022,00"
Other current transfers,US,"219.351,00","51.060,00","53.787,00","56.551,00","57.953,00"
Capital account,US,"-181,00","-1.367,00","-2.462,00","6.272,00","-2.624,00"
Financial account,US,"-869.104,95","-265.459,17","-130.709,68","-244.016,39","-228.919,72"
Direct investment,US,"-20.472,00","22.404,00","26.983,00","-72.197,00","2.338,00"
Net acquisition of financial assets,US,"388.510,00","158.822,00","102.718,00","55.681,00","71.289,00"
Equity and investment fund shares,US,"378.953,00","150.899,00","87.354,00","92.770,00","47.930,00"
